company_id,legal_entity,website,city,state,nace_code,nace_label,employees,revenue_eur_m,balance_sheet_eur_m,sme_status,group_check,iso_50001_status,iso_14001_status,emas_status,three_shift_operation,pv_present,public_load_profile_available,public_fossil_heat_signal,refrigeration_or_compressor_signal,batch_or_refrigeration_signal,rectifier_converter_furnace_signal,multi_shift_or_batch_signal,heat_recovery_deployed,energy_management_deployed,flexibility_solution_deployed,thermal_storage_deployed,battery_storage_deployed,power_quality_solution_deployed,industrial_heat_electrification_deployed,public_targets_summary,public_investments_summary,last_verified_date,next_review_date,evidence_confidence,source_urls,review_status,reviewer
P03,Upländer Bauernmolkerei GmbH,https://www.bauernmolkerei.de/,Willingen-Usseln,Hesse,10.51,Operation of dairies and cheese making,55,,,probable,probable_independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NO,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No dated site-energy or decarbonisation target was found in the checked public sources.","Approximately EUR 20 million production expansion; new dairy building and reusable-glass filling line entered production after the 2020-2021 investment period",2026-09-13,2027-03-13,B,"https://www.bauernmolkerei.de/ueber-uns/produktion-mitarbeiter/produktion/der-weg-der-milch | https://www.bauernmolkerei.de/aktuelles/neuigkeiten/detailansicht/bauernmolkerei-investiert-in-mehrweg-glas | https://www.wer-zu-wem.de/firma/uplaender.html",PROVISIONAL,"Codex research; Anna review pending"
P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,https://www.lammsbraeu.de/,Neumarkt in der Oberpfalz,Bavaria,11.05,Manufacture of beer,142,31.7,,probable,independent,NOT_FOUND_AFTER_CHECK,EXPIRED,DOCUMENT_FOUND_VALIDITY_UNCLEAR,UNKNOWN,YES,NO,YES,YES,YES,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Reduce Scope 1 and 2 greenhouse-gas emissions 42 percent by 2030 from a 2020 baseline; electrification of heat supply and a combination of heat pumps and solar systems are planned.","Integrated energy-management system and energy-management software; 125 kWp PV commissioned in 2023; solar-thermal installation begun; 2021 malt-house modernisation; gas remains the dominant heat source",2026-09-13,2027-03-13,A,"https://www.lammsbraeu.de/verantwortung/nachhaltigkeitsreporting | https://www.lammsbraeu.de/hubfs/Dachmarke/resources/documents/Nachhaltigkeitsberichte/GRI-Bericht2023_Neumarkter%20Lammsbr%C3%A4u_final%2020240913.pdf | https://www.lammsbraeu.de/blog/unsere-zertifizierungen",PROVISIONAL,"Codex research; Anna review pending"
P05,Einbecker Brauhaus AG,https://www.einbecker-brauhaus.de/,Einbeck,Lower Saxony,11.05,Manufacture of beer,121,33.873,28.521,probable,small_group,NOT_FOUND_AFTER_CHECK,DOCUMENT_FOUND_VALIDITY_UNCLEAR,DOCUMENT_FOUND_VALIDITY_UNCLEAR,UNKNOWN,YES,NO,YES,YES,YES,UNKNOWN,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Net greenhouse-gas neutrality by 2045 and a 40 percent reduction by 2031 from 2021; process-heat electrification through electric clean-steam generation and expanded process monitoring are planned through 2026.","EMAS environmental declaration; PV; biogas CHP with absorption chilling; pressure-air and ventilation heat recovery; process-control renewal; environmental programme for further waste-heat use and process monitoring",2026-09-13,2027-03-13,A,"https://www.einbecker-brauhaus.de/leitbild-werte/nachhaltigkeit | https://www.einbecker-brauhaus.de/files/einbecker_gruppe/content/leitbild-und-werte/nachhaltigkeit/umwelterklaerung-ebag-2025.pdf | https://www.einbecker-brauhaus.de/aktionaere/berichte",PROVISIONAL,"Codex research; Anna review pending"
P07,VARIOPLAST Konrad Däbritz GmbH,https://varioplast.de/de/,Ötisheim,Baden-Württemberg,22.29,Manufacture of other plastic products,130,17,11.27,probable,partner_or_linked_sme,NOT_FOUND_AFTER_CHECK,EXPIRED,NOT_FOUND_AFTER_CHECK,UNKNOWN,YES,NO,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,"Public evidence documents substantial existing transition measures; no separate target statement coded here.","PV; geothermal cooling; waste-heat heating; heat pumps; battery storage and fast-charging infrastructure announced for 2025",2026-09-12,2027-03-12,B,"https://varioplast.de/de/serienfertigung/ressourcenschonende-produktion | https://varioplast.de/de/downloads | https://wirtschaftskraft.de/artikel/das-hightech-herz-der-zukunftsschmiede-varioplast-schlaegt-im-nordschwarzwald",PROVISIONAL,"Codex research; Anna review pending"
P10,Oskar Lehmann GmbH & Co. KG,https://www.oskar-lehmann.de/en/,Blomberg,North Rhine-Westphalia,22.29,Manufacture of other plastic products,231,36.499,,probable,partner_or_linked_sme,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,YES,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Climate-neutrality-by-2030 initiative is publicly visible.","No quantified site-energy investment coded yet",2026-09-12,2027-03-12,B,"https://www.oskar-lehmann.de/en/areas-of-expertise.html | https://www.oskar-lehmann.de/en/download-en.html | https://www.ihk.de/ostwestfalen/ihre-ihk/presse/pressemeldungen/pressemeldungen2022/ihks-starten-klimainitiative-6981412",PROVISIONAL,"Codex research; Anna review pending"
P12,Richard Henkel GmbH,https://www.richard-henkel.de/,Forchtenberg-Ernsbach,Baden-Württemberg,25.61,Treatment and coating of metals,35,,,probable,independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,VALID,UNKNOWN,UNKNOWN,NO,YES,YES,YES,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Reduce Scope 1 emissions from 271.4 tCO2e in 2022 to 265 tCO2e by 2026; reduce LPG process-heat intensity at least 5 percent; planned PV aims to supply 5-10 percent of own demand.","EMAS environmental management; process-heat reduction project started in 2024; compressed-air electricity reduced from about 21,000 to 15,000 kWh per year; pellet building heat; PV, storage and coating-line heat recovery remain planned",2026-09-13,2027-03-13,A,"https://www.richard-henkel.de/impressum.html | https://www.richard-henkel.de/oberfl%C3%A4chentechnik.html | https://www.richard-henkel.de/downloads.html?file=files/downloads/2024_Umwelterklaerung_Richard_Henkel.pdf | https://www.richard-henkel.de/downloads.html?file=files/downloads/EMAS+Urkunde_bis_2026.pdf",PROVISIONAL,"Codex research; Anna review pending"
P13,Schmalriede-Zink GmbH,https://www.schmalriede.de/,Ganderkesee,Lower Saxony,25.61,Treatment and coating of metals,182,,,probable,independent,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,YES,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No dated site-energy or decarbonisation target was found in the checked public sources.","Official sources document seven production halls, 14,000 t of coated customer goods in 2020, zinc and zinc-alloy electroplating, heat treatment and powder coating; no site-energy deployment was inferred from those processes",2026-09-13,2027-03-13,B,"https://www.schmalriede.de/impressum | https://www.schmalriede.de/unternehmen | https://www.schmalriede.de/",PROVISIONAL,"Codex research; Anna review pending"
P16,Sembach GmbH & Co. KG,https://www.sembach.de/en/,Lauf an der Pegnitz,Bavaria,23.44,Manufacture of other technical ceramic products,200,,,probable,independent,VALID,VALID,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No dated site-energy or decarbonisation target was found in the checked public sources.","Direct current ISO 50001 and ISO 14001 certificates; technical-ceramics production includes spray drying, debinding to 1,100 C and sintering at 1,200-1,750 C in high-temperature and chamber furnaces",2026-09-13,2027-03-13,A,"https://www.sembach.de/en/imprint/ | https://www.sembach.de/en/company/ | https://www.sembach.de/en/production/ | https://www.sembach.de/wp-content/uploads/ISO-50001-bis-2028-E.pdf | https://www.sembach.de/wp-content/uploads/ISO-14001-bis-2028-E.pdf",PROVISIONAL,"Codex research; Anna review pending"
P18,Glashütte Lamberts Waldsassen GmbH,https://lamberts.de/,Waldsassen,Bavaria,23.11,Manufacture of flat glass,70,,,probable,independent,VALID,NOT_FOUND_AFTER_CHECK,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,YES,UNKNOWN,YES,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No dated site-energy or decarbonisation target was found in the checked public sources.","Direct ISO 50001 certificate valid through 19 December 2026; natural-gas-fired glass production, internal and external cullet recycling, modern flue-gas filtration and continuing firing-efficiency improvements",2026-09-13,2026-12-01,A,"https://lamberts.de/impressum-2 | https://lamberts.de/home | https://lamberts.de/der-zukunft-verpflichtet | https://lamberts.de/files/content/Mainpage/Unsere%20Glashuette/Zukunft/Zertifikat_Z-EM-13067-2023-001_Glashuette_Lamberts_Waldsassen.pdf",PROVISIONAL,"Codex research; Anna review pending"
P19,Glasfabrik Lamberts GmbH & Co. KG,https://www.lamberts.info/,Wunsiedel,Bavaria,23.11,Manufacture of flat glass,120,,,probable,independent,VALID,VALID,NOT_FOUND_AFTER_CHECK,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"No dated site-energy or decarbonisation target was found in the checked public sources.","Direct ISO 50001 certificate valid through 1 June 2028 and ISO 14001 through 4 April 2027; integrated cast-glass production and an EcoGlass programme covering furnace, firing-method and cullet optimisation",2026-09-13,2027-03-13,A,"https://www.lamberts.info/impressum | https://www.lamberts.info/unternehmen | https://www.lamberts.info/en/iecoglass/ecology | https://www.lamberts.info/fileadmin/user_upload/ecoglass/ISO_50001_Zertifizierung__Energiemanagement__062028.pdf | https://www.lamberts.info/fileadmin/user_upload/ecoglass/ISO_14001_Zertifizierung_ab_2024_Umweltmanagement.pdf | https://www.frankenpost.de/inhalt.freudige-nachricht-rieseninvestition-in-holenbrunn.54fc6b3d-9ea0-4a78-96f6-b22af96cd3b1.html",PROVISIONAL,"Codex research; Anna review pending"
