company_id,legal_entity,legal_entity_check,group_sme_check,process_check,certificate_check,evidence_traceability_check,qa_result,remaining_limitation,qa_date,qa_reviewer,independent_human_review_status
P03,Upländer Bauernmolkerei GmbH,VERIFIED,PROVISIONAL_FINANCIAL_AND_OWNERSHIP_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,PUBLIC_FINANCIAL_AND_SHAREHOLDER_DETAIL_OPEN,2026-09-13,Codex_second_pass,PENDING
P04,Neumarkter Lammsbräu Gebr. Ehrnsperger KG,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,LINKED_ENTITY_CHECK_AND_CURRENT_EMAS_METADATA_OPEN,2026-09-13,Codex_second_pass,PENDING
P05,Einbecker Brauhaus AG,VERIFIED,PROVISIONAL_LINKED_AGGREGATION_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,SUBSIDIARY_AGGREGATION_AND_EMAS_METADATA_OPEN,2026-09-13,Codex_second_pass,PENDING
P07,VARIOPLAST Konrad Däbritz GmbH,VERIFIED,PROVISIONAL_LINKED_AGGREGATION_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,LINKED_ENTERPRISE_AGGREGATION_OPEN,2026-09-13,Codex_second_pass,PENDING
P10,Oskar Lehmann GmbH & Co. KG,VERIFIED,PROVISIONAL_LINKED_AGGREGATION_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,LINKED_ENTERPRISE_AGGREGATION_OPEN,2026-09-13,Codex_second_pass,PENDING
P11,B+T Oberflächentechnik GmbH,VERIFIED,PROVISIONAL_GROUP_FINANCIAL_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,CONSOLIDATED_GROUP_FINANCIAL_THRESHOLD_OPEN,2026-09-13,Codex_second_pass,PENDING
P12,Richard Henkel GmbH,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,LATEST_FINANCIAL_THRESHOLD_OPEN,2026-09-13,Codex_second_pass,PENDING
P13,Schmalriede-Zink GmbH,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,LATEST_FINANCIAL_AND_RELATED_ENTITY_CHECK_OPEN,2026-09-13,Codex_second_pass,PENDING
P15,ELOXAL BARZ GmbH & Co KG,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,EMPLOYEE_AND_RELATED_ENTITY_CHECK_OPEN,2026-09-13,Codex_second_pass,PENDING
P16,Sembach GmbH & Co. KG,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,FINANCIAL_THRESHOLD_OPEN,2026-09-13,Codex_second_pass,PENDING
P18,Glashütte Lamberts Waldsassen GmbH,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,FINANCIAL_AND_RELATED_ENTITY_CHECK_OPEN,2026-09-13,Codex_second_pass,PENDING
P19,Glasfabrik Lamberts GmbH & Co. KG,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,FINANCIAL_AND_RELATED_ENTITY_CHECK_OPEN,2026-09-13,Codex_second_pass,PENDING
P20,DERIX Glasstudios GmbH & Co. KG,VERIFIED,PROVISIONAL_FINANCIAL_AND_INDEPENDENCE_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,FINANCIAL_THRESHOLD_AND_SIMILARLY_NAMED_WORKSHOP_CHECK_OPEN,2026-09-13,Codex_second_pass,PENDING
P21,Privatbrauerei MORITZ FIEGE GmbH & Co. KG,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,LATEST_FILING_AND_OWNERSHIP_DETAIL_OPEN,2026-09-13,Codex_second_pass,PENDING
P22,RIEDENBURGER BRAUHAUS Michael Krieger GmbH & Co. KG,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,NEW_ENERGY_SYSTEM_COMMISSIONING_STATE_RECHECK_OPEN,2026-09-13,Codex_second_pass,PENDING
P23,FM-Plast GmbH,VERIFIED,PROVISIONAL_LINKED_AGGREGATION_OPEN,SUPPORTED,COMPLETE,COMPLETE,PASS,ACQUIRED_ENTITY_AGGREGATION_OPEN,2026-09-13,Codex_second_pass,PENDING
P24,H&K Müller GmbH & Co. KG,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,FINANCIAL_THRESHOLD_OPEN,2026-09-13,Codex_second_pass,PENDING
P25,Scheplast GmbH,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,FINANCIAL_THRESHOLD_AND_ISO_14001_SUCCESSOR_OPEN,2026-09-13,Codex_second_pass,PENDING
P26,Barth Galvanik GmbH,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,EXACT_FINANCIAL_AND_RELATED_ENTITY_CHECK_OPEN,2026-09-13,Codex_second_pass,PENDING
P27,BCE Special Ceramics GmbH,VERIFIED,PROBABLE_SME,SUPPORTED,COMPLETE,COMPLETE,PASS,FINANCIAL_THRESHOLD_AND_CURRENT_FURNACE_STOCK_OPEN,2026-09-13,Codex_second_pass,PENDING
